Loja,Item,Tamanho,Quantidade,Valor
Loja 4,Top,PP,10,72.08
Loja 6,Pijama,M,6,47.13
Loja 6,Camiseta,PP,9,94.43
Loja 2,Blazer,G,6,99.2
Loja 8,Moletom,GG,5,32.57
Loja 7,Legging,PP,8,48.29
Loja 3,Calça Skini,PP,4,35.67
Loja 6,Baby Look,G,7,29.34
Loja 7,Moletom,M,2,94.78
Loja 8,Legging,EGG,10,21.46
Loja 8,Pijama,M,9,21.04
Loja 4,Bermuda,GG,9,39.27
Loja 1,Camiseta,G,8,56.36
Loja 5,Camiseta,EGG,8,40.83
Loja 1,Camiseta Mang Long,G,1,18.05
Loja 4,Top,PP,3,61.64
Loja 8,Blazer,G,1,89.83
Loja 10,Baby Look,GG,2,57.92
Loja 4,Shorts,EGG,8,43.52
Loja 5,Baby Look,M,10,79.61
Loja 4,Calça Camuflada,EGG,2,30.01
Loja 9,Blusa,EGG,10,25.79
Loja 7,Vestido,GG,1,83.67
Loja 6,Calça Masc,PP,5,41.35
Loja 1,Regata,GG,4,76.94
Loja 6,Calça Camuflada,P,8,54.38
Loja 5,Camiseta,GG,1,82.18
Loja 10,Blusa,GG,1,84.02
Loja 5,Top,PP,1,35.34
Loja 1,Calça Camuflada,G,1,31.85
Loja 1,Bermuda,P,9,90.85
Loja 8,Pijama,M,10,99.19
Loja 4,Regata,P,1,69.28
Loja 1,Moletom,M,4,13.14
Loja 7,Regata,PP,10,43.49
Loja 9,Camiseta Mang Long,GG,6,50.7
Loja 6,Legging,EGG,8,61.83
Loja 1,Vestido,PP,2,97.73
Loja 9,Jaqueta,EGG,3,99.66
Loja 10,Pijama,M,2,80.81
Loja 8,Regata,GG,3,83.82
Loja 5,Baby Look,P,1,87.72
Loja 3,Blusa,PP,4,46.35
Loja 5,Blazer,EGG,4,28.05
Loja 1,Baby Look,P,2,90.33
Loja 5,Blazer,P,8,13.8
Loja 7,Camiseta,G,4,99.69
Loja 3,Regata,P,2,81.26
Loja 7,Pijama,PP,4,71.96
Loja 1,Top,G,9,80.96
Loja 8,Calça Masc,P,7,55.99
Loja 1,Calça Skini,M,9,37.48
Loja 3,Macacão,G,2,58.31
Loja 5,Top,GG,8,14.3
Loja 10,Bermuda,EGG,7,59.82
Loja 5,Vestido,GG,8,98.32
Loja 9,Pijama,M,4,16.93
Loja 8,Macacão,GG,10,19.02
Loja 6,Bermuda,EGG,6,73.26
Loja 10,Blazer,EGG,6,40.24
Loja 2,Regata,M,8,51.33
Loja 9,Baby Look,GG,1,91.7
Loja 8,Moletom,P,4,50.75
Loja 3,Pijama,P,9,13.98
Loja 8,Calça Masc,M,3,25.07
Loja 4,Regata,G,8,50.89
Loja 3,Macacão,EGG,2,16.21
Loja 8,Bermuda,EGG,7,11.89
Loja 6,Calça Fem,G,7,67.91
Loja 7,Blazer,GG,1,33.49
Loja 1,Moletom,EGG,3,16.13
Loja 8,Camiseta,GG,4,54.46
Loja 4,Moletom,PP,7,39.37
Loja 4,Legging,EGG,9,81.07
Loja 3,Calça Fem,P,8,22.74
Loja 3,Camiseta,PP,2,21.39
Loja 10,Camiseta Mang Long,EGG,6,48.28
Loja 1,Bermuda,G,3,26.54
Loja 6,Moletom,M,7,41.43
Loja 2,Regata,M,7,86.25
Loja 1,Vestido,G,10,31.79
Loja 6,Blazer,PP,7,41.03
Loja 5,Blazer,G,7,73.28
Loja 10,Calça Fem,PP,1,34.97
Loja 4,Top,G,3,60.66
Loja 7,Calça Skini,GG,10,79.68
Loja 9,Legging,G,10,96.59
Loja 4,Regata,M,10,84.55
Loja 1,Vestido,PP,5,34.32
Loja 3,Legging,GG,5,93.15
Loja 2,Macacão,P,1,37.92
Loja 5,Calça Camuflada,M,10,59.79
Loja 4,Pijama,GG,9,80.89
Loja 9,Calça Masc,EGG,1,61.19
Loja 3,Blusa,P,1,23.06
Loja 10,Jaqueta,P,3,89.66
Loja 2,Shorts Academia,GG,3,41.24
Loja 1,Top,GG,3,62.3
Loja 9,Shorts Academia,GG,4,46.87
Loja 3,Shorts Academia,EGG,4,94.3
Loja 9,Moletom,PP,3,13.84
Loja 3,Moletom,EGG,5,91.3
Loja 10,Macacão,EGG,6,67.01
Loja 7,Calça Skini,EGG,8,17.6
Loja 2,Jaqueta,P,10,52.02
Loja 10,Calça Skini,GG,10,51.86
Loja 4,Legging,M,6,44.13
Loja 3,Shorts Academia,EGG,4,60.54
Loja 6,Regata,GG,2,91.61
Loja 6,Vestido,G,6,31.17
Loja 6,Camiseta,G,3,65.1
Loja 1,Camiseta,M,2,54.76
Loja 5,Calça Fem,M,1,87.85
Loja 1,Top,G,5,50.81
Loja 2,Calça Fem,M,9,85.4
Loja 3,Pijama,G,9,12.43
Loja 5,Camiseta Mang Long,PP,2,93.51
Loja 1,Top,GG,4,33.23
Loja 6,Blusa,G,6,50.59
Loja 6,Baby Look,PP,8,67.55
Loja 1,Pijama,GG,8,43.02
Loja 5,Calça Masc,PP,2,85.05
Loja 8,Blazer,P,5,74.55
Loja 7,Top,G,7,72.92
Loja 7,Camiseta,P,10,32.31
Loja 7,Camiseta Mang Long,GG,6,98.09
Loja 1,Macacão,GG,4,89.47
Loja 7,Jaqueta,G,3,19.2
Loja 4,Calça Fem,EGG,8,50.5
Loja 10,Blusa,P,6,55.8
Loja 10,Top,PP,5,24.51
Loja 6,Calça Fem,G,1,19.57
Loja 6,Blazer,GG,5,88.76
Loja 2,Bermuda,G,9,29.13
Loja 8,Blusa,M,4,64.61
Loja 5,Calça Masc,G,7,25.86
Loja 8,Top,G,2,27.32
Loja 5,Legging,P,3,37.22
Loja 4,Shorts,EGG,2,88.57
Loja 10,Blusa,P,9,93.57
Loja 9,Calça Skini,G,1,17.18
Loja 10,Pijama,PP,10,98.82
Loja 1,Baby Look,M,6,98.64
Loja 2,Regata,GG,9,97.78
Loja 4,Camiseta Mang Long,GG,4,82.75
Loja 10,Camiseta,M,3,79.33
Loja 6,Shorts Academia,GG,10,83.53
Loja 5,Camiseta,PP,7,47.63
Loja 3,Top,G,7,57.9
Loja 1,Bermuda,G,5,95.51
Loja 4,Bermuda,PP,5,21.17
Loja 10,Shorts,M,1,96.21
Loja 2,Vestido,G,1,86.99
Loja 3,Macacão,EGG,7,30.42
Loja 8,Shorts Academia,M,4,60.0
Loja 5,Macacão,EGG,4,52.66
Loja 2,Regata,GG,7,61.42
Loja 5,Blazer,EGG,2,48.79
Loja 7,Top,EGG,7,99.52
Loja 9,Baby Look,EGG,8,95.98
Loja 9,Bermuda,PP,5,15.55
Loja 10,Shorts,PP,4,35.22
Loja 10,Calça Fem,PP,2,20.58
Loja 5,Top,G,5,11.1
Loja 1,Bermuda,PP,2,50.81
Loja 1,Camiseta,PP,6,99.46
Loja 6,Calça Camuflada,P,1,19.52
Loja 6,Jaqueta,PP,1,16.01
Loja 5,Moletom,PP,4,63.77
Loja 1,Bermuda,M,9,22.54
Loja 4,Calça Camuflada,M,4,55.2
Loja 8,Bermuda,GG,2,71.75
Loja 1,Regata,PP,3,28.8
Loja 4,Macacão,PP,6,82.84
Loja 5,Legging,G,7,37.34
Loja 6,Blusa,P,1,27.82
Loja 1,Pijama,EGG,9,37.42
Loja 6,Camiseta Mang Long,P,8,67.98
Loja 9,Calça Fem,EGG,4,74.2
Loja 10,Calça Camuflada,GG,1,72.86
Loja 7,Moletom,P,10,58.75
Loja 1,Legging,P,1,87.32
Loja 7,Legging,P,6,72.27
Loja 6,Vestido,P,4,85.55
Loja 5,Shorts Academia,GG,7,35.26
Loja 7,Bermuda,M,7,41.79
Loja 2,Legging,M,3,65.78
Loja 6,Calça Skini,P,2,25.56
Loja 5,Legging,GG,7,61.13
Loja 5,Camiseta Mang Long,P,6,12.75
Loja 8,Regata,M,7,79.58
Loja 9,Shorts,G,5,38.24
Loja 6,Jaqueta,G,3,67.11
Loja 5,Shorts,EGG,4,25.33
Loja 1,Camiseta,M,5,83.11
Loja 6,Blusa,EGG,7,88.11
Loja 2,Legging,GG,6,82.56
Loja 10,Jaqueta,P,4,12.07
Loja 6,Calça Camuflada,EGG,4,46.3
Loja 6,Baby Look,G,1,15.93
Loja 4,Camiseta Mang Long,P,1,65.57
Loja 5,Legging,GG,9,48.02
Loja 10,Blazer,G,9,81.64
Loja 8,Calça Fem,GG,4,21.1
Loja 10,Calça Camuflada,G,6,23.38
Loja 3,Calça Masc,G,6,11.45
Loja 3,Calça Camuflada,P,2,12.21
Loja 1,Regata,P,5,36.14
Loja 8,Camiseta,P,10,10.15
Loja 5,Shorts,P,7,42.29
Loja 1,Shorts Academia,G,10,35.93
Loja 1,Vestido,PP,4,11.06
Loja 1,Shorts,PP,9,54.92
Loja 8,Vestido,P,4,90.16
Loja 9,Macacão,EGG,9,49.73
Loja 4,Shorts Academia,GG,1,81.93
Loja 3,Bermuda,M,8,49.88
Loja 8,Blazer,PP,6,34.87
Loja 7,Top,PP,3,22.84
Loja 3,Bermuda,G,6,30.6
Loja 8,Jaqueta,G,5,59.96
Loja 6,Camiseta Mang Long,PP,2,37.0
Loja 5,Moletom,P,7,25.25
Loja 2,Regata,EGG,9,42.98
Loja 10,Moletom,PP,6,36.43
Loja 3,Bermuda,P,3,98.36
Loja 2,Camiseta Mang Long,M,7,26.26
Loja 5,Legging,GG,9,23.08
Loja 7,Jaqueta,M,8,54.62
Loja 2,Vestido,P,5,16.84
Loja 3,Jaqueta,EGG,10,22.29
Loja 5,Camiseta Mang Long,PP,5,98.84
Loja 6,Blazer,P,6,29.75
Loja 4,Moletom,G,7,17.96
Loja 4,Calça Masc,G,2,63.86
Loja 5,Shorts Academia,M,1,42.22
Loja 9,Top,G,8,82.4
Loja 5,Blazer,PP,9,65.18
Loja 6,Calça Masc,G,3,86.95
Loja 5,Shorts Academia,P,9,85.68
Loja 5,Vestido,M,1,99.53
Loja 6,Camiseta,PP,9,61.36
Loja 8,Vestido,G,1,89.87
Loja 3,Legging,EGG,8,97.78
Loja 2,Blazer,G,5,79.82
Loja 5,Calça Masc,GG,4,12.88
Loja 4,Baby Look,P,10,56.05
Loja 1,Camiseta,EGG,6,86.91
Loja 8,Calça Masc,P,7,24.57
Loja 7,Calça Fem,EGG,2,22.97
Loja 9,Blusa,G,5,87.72
Loja 2,Calça Masc,G,9,58.44
Loja 1,Regata,P,9,54.37
Loja 6,Pijama,P,8,20.67
Loja 2,Calça Camuflada,EGG,1,45.86
Loja 1,Blusa,P,1,31.96
Loja 5,Blusa,EGG,1,55.89
Loja 4,Camiseta,PP,4,18.11
Loja 5,Legging,GG,3,46.78
Loja 4,Calça Camuflada,M,5,10.83
Loja 1,Top,EGG,5,53.9
Loja 2,Top,P,2,46.94
Loja 3,Jaqueta,M,3,30.21
Loja 10,Camiseta Mang Long,GG,6,11.84
Loja 10,Shorts Academia,GG,4,68.6
Loja 8,Legging,P,6,93.36
Loja 10,Camiseta,G,6,25.09
Loja 1,Camiseta Mang Long,EGG,10,35.76
Loja 2,Camiseta Mang Long,G,5,92.15
Loja 10,Bermuda,P,5,97.56
Loja 10,Calça Skini,PP,8,93.47
Loja 8,Calça Fem,G,4,92.31
Loja 7,Baby Look,P,8,32.9
Loja 10,Baby Look,GG,5,23.27
Loja 4,Blazer,G,5,13.57
Loja 8,Regata,EGG,2,67.15
Loja 3,Shorts,PP,2,81.1
Loja 4,Blazer,PP,5,28.45
Loja 1,Camiseta Mang Long,GG,2,96.46
Loja 10,Calça Fem,M,2,40.53
Loja 4,Calça Masc,G,10,97.44
Loja 5,Jaqueta,EGG,10,55.28
Loja 2,Calça Skini,G,8,28.81
Loja 5,Moletom,EGG,3,29.09
Loja 7,Camiseta,M,4,42.03
Loja 6,Calça Skini,P,1,14.24
Loja 6,Calça Fem,P,6,21.48
Loja 2,Camiseta,P,6,77.66
Loja 2,Macacão,GG,10,20.62
Loja 9,Calça Camuflada,M,8,58.13
Loja 9,Blusa,EGG,7,61.02
Loja 5,Top,P,10,94.12
Loja 10,Blusa,PP,4,69.7
Loja 7,Blusa,G,7,40.87
Loja 8,Shorts Academia,P,9,94.45
Loja 9,Baby Look,GG,1,33.71
Loja 2,Shorts,M,8,55.4
Loja 10,Vestido,M,7,59.26
Loja 9,Regata,PP,4,28.52
Loja 6,Jaqueta,GG,7,94.73
Loja 9,Pijama,M,10,31.44
Loja 2,Top,EGG,2,98.43
Loja 8,Bermuda,M,2,41.35
Loja 8,Legging,M,5,32.42
Loja 6,Calça Fem,EGG,9,25.6
Loja 10,Jaqueta,M,10,98.51
Loja 6,Moletom,EGG,2,66.19
Loja 4,Blusa,M,4,92.04
Loja 2,Shorts,P,5,88.44
Loja 10,Pijama,GG,3,24.03
Loja 8,Jaqueta,M,4,28.91
Loja 3,Top,G,3,68.59
Loja 1,Jaqueta,G,8,63.44
Loja 3,Pijama,M,3,43.55
Loja 7,Blusa,PP,8,49.19
Loja 2,Calça Masc,PP,3,70.91
Loja 10,Calça Fem,G,1,24.51
Loja 2,Calça Skini,G,9,92.4
Loja 3,Baby Look,EGG,3,89.54
Loja 5,Calça Fem,P,9,18.01
Loja 7,Calça Skini,EGG,8,39.36
Loja 6,Pijama,M,4,51.23
Loja 7,Regata,M,10,36.61
Loja 5,Baby Look,M,8,21.04
Loja 10,Regata,P,6,94.04
Loja 4,Legging,M,10,72.96
Loja 8,Calça Skini,PP,4,22.69
Loja 6,Calça Camuflada,P,6,76.47
Loja 2,Baby Look,GG,1,33.36
Loja 9,Legging,G,8,98.79
Loja 8,Calça Masc,P,3,45.92
Loja 8,Top,G,2,64.19
Loja 4,Baby Look,G,2,53.68
Loja 9,Pijama,EGG,8,55.74
Loja 10,Calça Skini,PP,6,87.34
Loja 9,Blazer,EGG,6,60.35
Loja 7,Bermuda,PP,1,24.7
Loja 2,Top,PP,9,47.07
Loja 2,Shorts Academia,P,3,90.76
Loja 10,Legging,G,8,77.66
Loja 5,Calça Masc,EGG,6,50.75
Loja 8,Calça Skini,EGG,4,73.39
Loja 3,Baby Look,G,4,71.33
Loja 3,Calça Skini,M,5,99.34
Loja 1,Calça Fem,M,8,61.17
Loja 8,Macacão,EGG,4,94.09
Loja 9,Vestido,PP,6,98.96
Loja 3,Camiseta,PP,5,33.2
Loja 1,Shorts,M,9,94.03
Loja 3,Shorts Academia,P,7,82.13
Loja 1,Jaqueta,P,10,92.81
Loja 2,Calça Fem,P,9,81.56
Loja 7,Shorts Academia,P,3,84.52
Loja 2,Shorts Academia,EGG,9,79.05
Loja 10,Calça Camuflada,M,2,94.49
Loja 1,Top,GG,10,30.03
Loja 7,Moletom,GG,5,68.14
Loja 7,Blazer,M,9,78.19
Loja 10,Calça Masc,M,5,60.12
Loja 9,Camiseta,GG,6,16.44
Loja 5,Calça Masc,PP,7,38.02
Loja 9,Calça Fem,PP,6,32.59
Loja 2,Camiseta,GG,9,92.53
Loja 4,Legging,P,9,48.73
Loja 4,Shorts,M,2,63.51
Loja 8,Legging,EGG,6,12.08
Loja 2,Pijama,EGG,2,52.31
Loja 2,Vestido,EGG,3,90.78
Loja 6,Calça Skini,PP,5,31.57
Loja 9,Calça Camuflada,P,7,66.77
Loja 9,Jaqueta,P,5,14.27
Loja 1,Calça Fem,PP,10,55.16
Loja 8,Blazer,PP,8,80.4
Loja 5,Calça Skini,P,9,64.71
Loja 9,Moletom,GG,5,71.56
Loja 6,Jaqueta,EGG,5,69.77
Loja 1,Moletom,M,3,36.59
Loja 4,Bermuda,P,5,12.29
Loja 3,Regata,P,6,47.17
Loja 8,Vestido,GG,1,10.08
Loja 1,Calça Masc,M,5,36.76
Loja 8,Blazer,GG,8,23.59
Loja 9,Calça Fem,PP,1,89.91
Loja 1,Camiseta,G,10,33.11
Loja 2,Calça Fem,GG,1,10.77
Loja 9,Camiseta,G,5,91.41
Loja 2,Calça Masc,EGG,9,52.09
Loja 4,Calça Masc,P,2,32.6
Loja 7,Vestido,M,1,15.69
Loja 7,Calça Fem,M,7,48.97
Loja 10,Moletom,GG,8,39.71
Loja 4,Top,P,3,48.98
Loja 5,Moletom,GG,9,47.65
Loja 10,Legging,P,4,33.17
Loja 7,Moletom,G,10,51.51
Loja 9,Moletom,GG,10,58.47
Loja 4,Calça Fem,M,5,44.66
Loja 7,Calça Masc,M,7,70.24
Loja 1,Baby Look,P,6,68.97
Loja 10,Bermuda,G,1,66.44
Loja 6,Vestido,PP,6,35.57
Loja 2,Blazer,GG,10,29.82
Loja 2,Regata,EGG,7,66.48
Loja 3,Moletom,GG,7,84.9
Loja 5,Calça Camuflada,EGG,2,97.07
Loja 1,Shorts,EGG,6,39.64
Loja 6,Top,EGG,7,74.99
Loja 4,Calça Camuflada,EGG,3,98.95
Loja 9,Pijama,G,1,38.05
Loja 8,Calça Skini,EGG,5,66.15
Loja 5,Blazer,PP,7,17.54
Loja 5,Jaqueta,EGG,4,79.85
Loja 10,Calça Masc,GG,2,38.1
Loja 1,Top,P,10,29.15
Loja 7,Macacão,GG,3,54.47
Loja 10,Pijama,P,2,32.01
Loja 1,Calça Camuflada,G,9,53.0
Loja 2,Calça Fem,G,6,71.28
Loja 10,Calça Camuflada,P,2,69.26
Loja 1,Macacão,M,4,21.64
Loja 8,Shorts Academia,GG,8,39.2
Loja 1,Jaqueta,P,1,19.97
Loja 9,Calça Fem,M,4,75.88
Loja 10,Legging,G,9,80.55
Loja 7,Camiseta Mang Long,P,1,22.23
Loja 3,Blazer,EGG,6,70.78
Loja 5,Macacão,PP,2,44.05
Loja 8,Shorts Academia,P,1,11.2
Loja 4,Calça Skini,GG,1,61.66
Loja 7,Camiseta Mang Long,PP,8,25.35
Loja 5,Jaqueta,EGG,5,78.3
Loja 6,Blazer,GG,8,39.88
Loja 10,Camiseta,EGG,10,46.96
Loja 6,Calça Fem,G,2,64.43
Loja 8,Shorts,P,7,46.12
Loja 10,Jaqueta,P,1,96.66
Loja 2,Regata,M,6,32.77
Loja 10,Legging,EGG,5,80.93
Loja 5,Top,PP,5,48.91
Loja 7,Top,EGG,8,72.86
Loja 1,Regata,M,1,90.06
Loja 4,Calça Camuflada,EGG,6,51.62
Loja 5,Bermuda,GG,7,82.26
Loja 2,Jaqueta,M,8,87.35
Loja 7,Baby Look,EGG,2,45.4
Loja 5,Legging,G,5,64.74
Loja 6,Calça Camuflada,G,6,25.18
Loja 2,Calça Camuflada,G,9,98.96
Loja 4,Jaqueta,G,6,38.54
Loja 2,Camiseta,P,6,76.36
Loja 1,Legging,PP,8,27.84
Loja 3,Shorts Academia,EGG,9,48.16
Loja 10,Bermuda,PP,9,25.76
Loja 7,Baby Look,GG,4,73.35
Loja 5,Jaqueta,P,6,81.75
Loja 4,Camiseta,M,4,71.26
Loja 9,Calça Fem,P,6,60.48
Loja 8,Top,P,6,26.17
Loja 5,Pijama,PP,4,79.94
Loja 4,Camiseta,EGG,7,27.56
Loja 6,Moletom,PP,6,13.92
Loja 8,Calça Masc,PP,5,23.3
Loja 3,Pijama,PP,3,73.06
Loja 6,Camiseta,EGG,10,85.35
Loja 10,Camiseta Mang Long,M,9,48.17
Loja 3,Shorts,PP,8,89.96
Loja 2,Vestido,M,6,37.89
Loja 10,Baby Look,GG,2,14.0
Loja 10,Moletom,P,9,57.95
Loja 7,Vestido,P,4,44.26
Loja 3,Baby Look,G,2,59.29
Loja 6,Moletom,G,9,47.81
Loja 6,Calça Skini,PP,7,50.06
Loja 10,Calça Skini,GG,4,67.04
Loja 4,Blazer,P,8,90.16
Loja 9,Baby Look,M,6,90.56
Loja 3,Vestido,G,3,89.02
Loja 9,Bermuda,EGG,8,10.67
Loja 5,Bermuda,GG,4,35.23
Loja 9,Moletom,P,2,18.7
Loja 2,Baby Look,PP,2,49.84
Loja 5,Moletom,M,1,96.94
Loja 6,Top,PP,4,36.1
Loja 1,Blusa,G,8,22.61
Loja 4,Blazer,G,10,80.59
Loja 2,Calça Camuflada,P,2,23.5
Loja 3,Baby Look,P,8,69.02
Loja 5,Pijama,M,4,25.78
Loja 8,Bermuda,PP,9,24.24
Loja 10,Calça Masc,G,2,97.56
Loja 3,Blusa,G,2,68.45
Loja 8,Baby Look,PP,9,11.62
Loja 9,Calça Fem,P,8,33.39
Loja 2,Calça Fem,G,8,23.57
Loja 7,Shorts,M,6,53.57
Loja 7,Camiseta,G,10,76.52
Loja 6,Calça Skini,M,5,55.19
Loja 8,Blazer,EGG,1,40.38
Loja 1,Blusa,P,10,50.37
Loja 6,Camiseta,GG,4,20.21
Loja 2,Moletom,EGG,6,68.21
Loja 4,Top,G,1,42.67
Loja 7,Macacão,EGG,9,80.42
Loja 9,Moletom,M,1,12.03
Loja 9,Camiseta Mang Long,GG,9,22.54
Loja 6,Regata,EGG,3,44.52
Loja 6,Camiseta Mang Long,M,9,89.36
Loja 5,Jaqueta,EGG,5,84.47
Loja 1,Calça Camuflada,EGG,4,78.33
Loja 8,Vestido,P,7,57.72
Loja 4,Top,G,8,12.8
Loja 2,Camiseta,P,8,57.36
Loja 2,Calça Fem,GG,3,83.81
Loja 9,Calça Fem,P,9,77.77
Loja 4,Legging,G,8,95.37
Loja 7,Legging,M,9,16.16
Loja 10,Top,PP,4,42.67
Loja 6,Blazer,P,2,64.85
Loja 7,Top,P,1,69.78
Loja 2,Top,EGG,7,85.77
Loja 10,Camiseta,EGG,10,14.47
Loja 6,Calça Skini,G,5,29.16
Loja 6,Top,G,7,89.98
Loja 5,Moletom,G,1,39.26
Loja 5,Shorts Academia,GG,10,18.22
Loja 4,Legging,G,3,21.58
Loja 3,Calça Fem,EGG,7,91.85
Loja 4,Top,GG,4,91.88
Loja 9,Pijama,G,2,65.92
Loja 7,Calça Masc,P,3,68.62
Loja 10,Shorts,PP,9,60.64
Loja 6,Calça Camuflada,PP,2,17.26
Loja 8,Baby Look,GG,2,73.76
Loja 6,Moletom,PP,3,96.66
Loja 5,Blusa,PP,8,71.49
Loja 2,Bermuda,M,4,72.12
Loja 8,Vestido,GG,3,45.33
Loja 7,Calça Skini,EGG,9,70.41
Loja 6,Blusa,M,3,32.04
Loja 10,Jaqueta,GG,1,37.82
Loja 5,Regata,EGG,7,93.23
Loja 7,Jaqueta,EGG,8,65.07
Loja 5,Shorts,PP,10,84.26
Loja 2,Moletom,GG,1,73.18
Loja 5,Blusa,GG,9,56.5
Loja 7,Pijama,EGG,2,29.92
Loja 4,Shorts Academia,M,9,96.34
Loja 5,Blusa,G,3,33.63
Loja 9,Blusa,GG,7,63.13
Loja 9,Jaqueta,PP,9,45.76
Loja 4,Calça Fem,GG,2,18.11
Loja 6,Blazer,PP,3,13.75
Loja 1,Calça Camuflada,PP,9,16.09
Loja 3,Moletom,P,8,81.85
Loja 10,Shorts,G,1,41.91
Loja 10,Calça Fem,M,1,77.07
Loja 10,Top,EGG,4,15.91
Loja 8,Shorts Academia,P,6,84.22
Loja 6,Shorts Academia,M,5,21.47
Loja 5,Macacão,P,7,13.98
Loja 4,Calça Masc,EGG,4,15.33
Loja 10,Calça Fem,P,7,79.06
Loja 8,Jaqueta,EGG,2,31.74
Loja 1,Camiseta,P,8,77.2
Loja 5,Blusa,EGG,2,41.62
Loja 8,Calça Skini,EGG,9,71.31
Loja 9,Shorts Academia,P,7,34.07
Loja 7,Shorts Academia,P,5,98.43
Loja 4,Pijama,PP,2,69.55
Loja 5,Calça Camuflada,EGG,2,57.71
Loja 6,Calça Fem,M,2,44.9
Loja 8,Pijama,M,2,30.75
Loja 10,Baby Look,EGG,6,56.67
Loja 7,Shorts Academia,P,4,62.21
Loja 10,Calça Fem,M,6,44.59
Loja 3,Vestido,P,8,12.17
Loja 4,Calça Fem,M,9,55.13
Loja 8,Calça Camuflada,P,2,43.2
Loja 9,Pijama,EGG,10,30.82
Loja 8,Macacão,EGG,3,32.58
Loja 1,Jaqueta,M,10,55.27
Loja 9,Vestido,G,1,66.19
Loja 4,Camiseta Mang Long,GG,2,18.05
Loja 3,Top,EGG,10,97.16
Loja 4,Baby Look,EGG,4,58.49
Loja 1,Calça Masc,G,7,45.5
Loja 4,Pijama,PP,10,24.32
Loja 6,Calça Fem,M,8,92.79
Loja 1,Calça Fem,G,5,91.65
Loja 4,Bermuda,GG,6,97.18
Loja 4,Macacão,EGG,5,67.65
Loja 4,Regata,M,4,93.7
Loja 2,Vestido,M,3,82.26
Loja 5,Camiseta Mang Long,EGG,10,55.85
Loja 9,Bermuda,G,2,48.34
Loja 10,Macacão,P,4,72.67
Loja 1,Bermuda,GG,6,68.87
Loja 7,Camiseta Mang Long,EGG,9,52.21
Loja 7,Camiseta Mang Long,G,4,99.97
Loja 8,Shorts,P,6,96.96
Loja 9,Vestido,G,5,10.19
Loja 3,Blusa,M,7,93.4
Loja 5,Jaqueta,P,9,84.14
Loja 2,Calça Camuflada,P,9,12.93
Loja 7,Pijama,P,10,94.77
Loja 6,Calça Skini,G,2,95.12
Loja 4,Shorts,GG,6,47.96
Loja 4,Jaqueta,P,2,87.0
Loja 4,Macacão,P,5,30.15
Loja 4,Shorts Academia,G,10,77.08
Loja 7,Bermuda,G,4,13.68
Loja 9,Calça Skini,P,1,13.98
Loja 8,Vestido,P,3,91.27
Loja 3,Shorts,P,4,59.01
Loja 6,Pijama,P,10,91.22
Loja 5,Calça Masc,EGG,1,18.07
Loja 1,Moletom,EGG,4,43.37
Loja 2,Calça Camuflada,M,1,42.34
Loja 7,Blusa,P,9,16.98
Loja 4,Pijama,G,7,85.93
Loja 7,Shorts,G,10,63.74
Loja 9,Legging,M,4,83.77
Loja 3,Legging,PP,2,39.6
Loja 2,Camiseta Mang Long,P,7,41.03
Loja 10,Blazer,P,7,10.2
Loja 5,Calça Skini,G,3,64.69
Loja 6,Bermuda,P,2,56.05
Loja 9,Calça Camuflada,P,10,91.67
Loja 4,Baby Look,G,6,34.1
Loja 8,Vestido,GG,2,75.6
Loja 1,Calça Camuflada,P,5,23.28
Loja 10,Camiseta Mang Long,PP,7,42.8
Loja 6,Calça Camuflada,M,1,20.76
Loja 6,Regata,P,10,77.31
Loja 2,Shorts Academia,PP,8,32.09
Loja 10,Camiseta,M,10,18.63
Loja 10,Jaqueta,G,5,93.42
Loja 1,Calça Skini,EGG,2,99.52
Loja 1,Calça Fem,P,8,11.8
Loja 8,Blazer,GG,6,91.2
Loja 7,Regata,EGG,1,96.95
Loja 3,Jaqueta,M,6,62.88
Loja 1,Blazer,G,7,14.99
Loja 1,Calça Fem,EGG,5,58.17
Loja 4,Calça Skini,PP,1,91.15
Loja 6,Calça Masc,G,8,60.63
Loja 9,Bermuda,M,10,99.82
Loja 4,Calça Skini,EGG,4,61.09
Loja 7,Pijama,M,2,84.76
Loja 1,Regata,G,9,90.0
Loja 3,Macacão,EGG,8,21.76
Loja 8,Camiseta Mang Long,GG,5,32.69
Loja 1,Legging,PP,3,58.87
Loja 1,Calça Camuflada,P,1,82.18
Loja 8,Pijama,P,4,25.65
Loja 7,Shorts,PP,2,46.63
Loja 8,Camiseta Mang Long,G,6,84.71
Loja 5,Shorts,PP,8,93.74
Loja 10,Legging,M,5,89.55
Loja 1,Bermuda,G,5,93.77
Loja 10,Vestido,M,3,31.86
Loja 4,Top,PP,1,88.39
Loja 1,Legging,M,7,34.49
Loja 8,Bermuda,M,3,32.42
Loja 8,Calça Skini,GG,6,98.34
Loja 7,Calça Fem,EGG,1,39.61
Loja 7,Legging,EGG,8,63.24
Loja 1,Jaqueta,G,7,23.12
Loja 8,Vestido,M,2,98.76
Loja 3,Shorts Academia,EGG,4,63.66
Loja 4,Calça Fem,M,1,29.16
Loja 8,Calça Masc,EGG,5,99.91
Loja 4,Macacão,P,1,10.61
Loja 9,Blusa,GG,6,49.38
Loja 5,Calça Skini,M,6,69.76
Loja 8,Top,P,3,36.77
Loja 2,Calça Skini,P,10,63.08
Loja 3,Jaqueta,GG,6,86.93
